file_with_path,path,file_name,slide,mp3,reading_manuscript
./orientation/orientation.tex,./orientation/,orientation.tex,TRUE,,TRUE
./orientation/orientation_2.tex,./orientation/,orientation_2.tex,TRUE,,TRUE
./orientation/orientation_another.tex,./orientation/,orientation_another.tex,TRUE,TRUE,
,./1st_grader/,999quiz.tex,TRUE,TRUE,TRUE
./1st_grader/999quiz_full_vesion.tex,./1st_grader/,999quiz_full_vesion.tex,TRUE,TRUE,TRUE
./1st_grader/099_pronunciation.tex,./1st_grader/,099_pronunciation.tex,TRUE,TRUE,TRUE
./pronunciation/pronunciation_consonant.tex,./pronunciation/,pronunciation_consonant.tex,TRUE,TRUE,TRUE
./pronunciation/pronunciation_vowel.tex,./pronunciation/,pronunciation_vowel.tex,TRUE,TRUE,FALSE
./pronunciation/pronunciation_japanesel.tex,./pronunciation/,pronunciation_japanese.tex,TRUE,TRUE,FALSE
./1st_grader/001_alphabet.tex,./1st_grader/,001_alphabet.tex,TRUE,TRUE,TRUE
./1st_grader/002_sv.tex,./1st_grader/,002_sv.tex,TRUE,TRUE,TRUE
./1st_grader/003_be.tex,./1st_grader/,003_be.tex,TRUE,TRUE,TRUE
./1st_grader/004_verb.tex,./1st_grader/,004_verb.tex,TRUE,TRUE,TRUE
./1st_grader/004_verb_object.tex,./1st_grader/,004_verb_object.tex,TRUE,TRUE,TRUE
./1st_grader/005_pronoun.tex,./1st_grader/,005_pronoun.tex,TRUE,TRUE,TRUE
./1st_grader/005_singular_plural.tex,./1st_grader/,005_singular_plural.tex,TRUE,TRUE,FALSE
./1st_grader/006_negative_be.tex,./1st_grader/,006_negative_be.tex,TRUE,TRUE,FALSE
./1st_grader/007_negative_do.tex,./1st_grader/,007_negative_do.tex,TRUE,TRUE,FALSE
./1st_grader/008_question_be.tex,./1st_grader/,008_question_be.tex,TRUE,TRUE,FALSE
./1st_grader/009_answer_be.tex,./1st_grader/,009_answer_be.tex,TRUE,TRUE,FALSE
./1st_grader/010_question_do.tex,./1st_grader/,010_question_do.tex,TRUE,TRUE,FALSE
./1st_grader/011_answer_do.tex,./1st_grader/,011_answer_do.tex,TRUE,TRUE,FALSE
./1st_grader/012_can.tex,./1st_grader/,012_can.tex,TRUE,TRUE,FALSE
./1st_grader/013_who.tex,./1st_grader/,013_who.tex,TRUE,TRUE,FALSE
./1st_grader/014_when.tex,./1st_grader/,014_when.tex,TRUE,TRUE,FALSE
./1st_grader/015_where.tex,./1st_grader/,015_where.tex,TRUE,TRUE,FALSE
./1st_grader/016_which.tex,./1st_grader/,016_which.tex,TRUE,TRUE,FALSE
./1st_grader/017_how.tex,./1st_grader/,017_how.tex,TRUE,TRUE,FALSE
./1st_grader/018_why.tex,./1st_grader/,018_why.tex,TRUE,TRUE,FALSE
./1st_grader/019_what.tex,./1st_grader/,019_what.tex,TRUE,TRUE,FALSE
./1st_grader/020_whose.tex,./1st_grader/,020_whose.tex,TRUE,TRUE,FALSE
./1st_grader/020a_wh.tex,./1st_grader/,020a_wh.tex,TRUE,TRUE,FALSE
./1st_grader/021_is_ing_intro.tex,./1st_grader/,021_is_ing_intro.tex,TRUE,TRUE,TRUE
./1st_grader/022_is_ing_negative.tex,./1st_grader/,022_is_ing_negative.tex,TRUE,TRUE,FALSE
./1st_grader/023_is_ing_question.tex,./1st_grader/,023_is_ing_question.tex,TRUE,TRUE,FALSE
./1st_grader/024_past_be.tex,./1st_grader/,024_past_be.tex,TRUE,TRUE,FALSE
